Dấu thời gian,Bạn thường học trên VLearn bao nhiêu buổi mỗi tuần?,"Sau khi học xong một buổi lý thuyết, bạn có chắc mình đã hiểu đúng toàn bộ nội dung không?  ",Bạn thường phát hiện mình hiểu sai kiến thức khi nào?  ,Bạn có từng gặp tình huống học xong nhưng vẫn không biết mình đã hiểu đúng bài chưa? ," Nếu có, điều đó ảnh hưởng đến bạn như thế nào? ",Bạn thường kiểm tra lại kiến thức bằng cách nào?,"Nếu sau mỗi buổi học có 3 câu hỏi AI tạo tự động để kiểm tra bạn có thực sự hiểu bài hay không, bạn có sử dụng không?"
30/07/2026 10:37:36,3–4,3,Khi làm Project,Có,Mất nhiều thời gian ôn lại,Đọc lại slide,3
30/07/2026 10:38:43,3–4,2,Khi được giảng viên hỏi,Có,Mất nhiều thời gian ôn lại,Đọc lại slide,5
30/07/2026 10:39:42,Trên 4 buổi,2,Khi làm Quiz,Có,Mất nhiều thời gian ôn lại,Hỏi AI,5
30/07/2026 10:39:51,Trên 4 buổi,3,Khi làm Project,Có,Mất nhiều thời gian ôn lại,Đọc lại slide,4
30/07/2026 10:40:40,Trên 4 buổi,3,Khi làm Quiz,Có,Điểm Quiz thấp,Hỏi AI,4
30/07/2026 10:40:40,3–4,3,Khi làm Assignment,Có,Khó làm Assignment,Hỏi AI,3
30/07/2026 10:40:45,3–4,3,Khi ôn thi,Có,Khó làm Assignment,Xem lại video,4
30/07/2026 10:41:06,Trên 4 buổi,2,Khi ôn thi,Có,Mất nhiều thời gian ôn lại,Hỏi bạn bè,5
30/07/2026 10:41:07,Trên 4 buổi,4,Khi được giảng viên hỏi,Có,Mất nhiều thời gian ôn lại,Hỏi bạn bè,5
30/07/2026 10:41:22,3–4,4,Khi ôn thi,Có,Khó làm Assignment,Hỏi AI,5
30/07/2026 10:41:24,Trên 4 buổi,4,Khi được giảng viên hỏi,Có,Mất nhiều thời gian ôn lại,Hỏi bạn bè,5
30/07/2026 10:41:40,Trên 4 buổi,3,Khi làm Project,Không,Thiếu tự tin,Hỏi bạn bè,4
30/07/2026 10:41:43,3–4,2,Khi ôn thi,Có,Khó làm Assignment,Hỏi bạn bè,4
30/07/2026 10:42:11,3–4,3,Khi làm Assignment,Có,Điểm Quiz thấp,Hỏi AI,4
30/07/2026 10:42:37,Trên 4 buổi,5,Khi làm Project,Có,Điểm Quiz thấp,Xem lại video,5
30/07/2026 10:42:42,3–4,3,Khi làm Assignment,Có,Khó làm Assignment,Đọc lại slide,4
30/07/2026 10:42:55,3–4,4,Khi làm Assignment,Có,Thiếu tự tin,Hỏi bạn bè,4
30/07/2026 10:43:05,1–2,3,Khi làm Project,Có,Điểm Quiz thấp,Xem lại video,4
30/07/2026 10:43:22,1–2,4,Khi làm Quiz,Không,Mất nhiều thời gian ôn lại,Đọc lại slide,4
30/07/2026 10:46:35,1–2,1,Khi được giảng viên hỏi,Có,Thiếu tự tin,Hỏi AI,4
30/07/2026 11:00:07,1–2,3,Khi làm Assignment,Có,Mất nhiều thời gian ôn lại,Đọc lại slide,3
